model,R2,Marquardt,SSE,SAE,Hybrid,ARE,MSE,NLCS
Thomas,0.985,2.153,0.034,0.647,5.156,0.597,0.002,0.005
Thomas,0.992,1.602,0.022,0.523,2.681,0.389,0.001,0.004
Thomas,0.999,1.033,0.003,0.131,0.134,0.225,0,0.002
Thomas,0.997,1.312,0.008,0.264,0.892,0.318,0,0.003
Thomas,0.985,2.153,0.034,0.647,5.156,0.597,0.002,0.005
Thomas,0.962,3.414,0.052,0.677,1.377,1.207,0.005,0.008
Thomas,0.991,1.701,0.026,0.619,2.202,0.425,0.001,0.004
Thomas,0.985,2.153,0.034,0.647,5.156,0.597,0.002,0.005
Thomas,0.98,3.207,0.032,0.503,6.118,1.069,0.003,0.008
Thomas,0.998,0.358,0.004,0.195,0.759,0.099,0,0
Thomas,0.993,1.53,0.013,0.363,3.525,0.442,0.001,0.003
Thomas,0.963,3.432,0.049,0.626,9.803,1.297,0.005,0.007
Thomas,0.964,4.025,0.044,0.59,1.433,1.521,0.005,0.01
Yoon,0.985,2.153,0.034,0.647,5.156,0.597,0.002,0.005
Yoon,0.992,1.602,0.022,0.523,2.681,0.389,0.001,0.004
Yoon,0.999,1.033,0.003,0.131,0.134,0.225,0,0.002
Yoon,0.997,1.312,0.008,0.264,0.892,0.318,0,0.003
Yoon,0.985,2.153,0.034,0.647,5.156,0.597,0.002,0.005
Yoon,0.962,3.414,0.052,0.677,1.377,1.207,0.005,0.008
Yoon,0.991,1.701,0.026,0.619,2.202,0.425,0.001,0.004
Yoon,0.985,2.153,0.034,0.647,5.156,0.597,0.002,0.005
Yoon,0.98,3.207,0.032,0.503,6.118,1.069,0.003,0.008
Yoon,0.998,0.358,0.004,0.195,0.759,0.099,0,0
Yoon,0.993,1.53,0.013,0.363,3.525,0.442,0.001,0.003
Yoon,0.963,3.432,0.049,0.626,9.803,1.297,0.005,0.007
Yoon,0.964,4.025,0.044,0.59,1.433,1.521,0.005,0.01
adams,0.842,6.896,0.358,2.111,29.756,1.913,0.024,0.056
adams,0.88,5.989,0.325,2.239,21.059,1.453,0.017,0.055
adams,0.947,5.3,0.166,1.477,6.632,1.157,0.007,0.054
adams,0.92,6.062,0.236,1.87,11.775,1.47,0.012,0.057
adams,0.842,6.896,0.358,2.111,29.756,1.913,0.024,0.056
adams,0.721,6.581,0.385,1.789,11.078,2.327,0.038,0.032
adams,0.862,6.185,0.382,2.442,19.922,1.546,0.021,0.056
adams,0.842,6.896,0.358,2.111,29.756,1.913,0.024,0.056
adams,0.687,8.751,0.499,2.16,94.324,2.917,0.045,0.063
adams,0.961,3.316,0.076,0.954,8.236,0.92,0.005,0.013
adams,0.906,5.405,0.191,1.485,23.683,1.56,0.014,0.032
adams,0.799,6.851,0.271,1.435,41.052,2.589,0.03,0.03
adams,0.731,7.925,0.329,1.561,10.898,2.995,0.037,0.04
weibull,0.993,1.777,0.016,0.39,4.27,0.493,0.001,0.004
weibull,0.99,1.867,0.028,0.527,3.382,0.453,0.001,0.005
weibull,0.997,1.664,0.011,0.301,0.421,0.363,0,0.005
weibull,0.995,1.715,0.014,0.344,1.282,0.416,0.001,0.005
weibull,0.993,1.777,0.016,0.39,4.27,0.493,0.001,0.004
weibull,0.977,2.996,0.032,0.491,1.607,1.059,0.003,0.007
weibull,0.994,1.578,0.016,0.419,1.73,0.394,0.001,0.004
weibull,0.993,1.777,0.016,0.39,4.27,0.493,0.001,0.004
weibull,0.985,3.227,0.024,0.39,4.192,1.076,0.002,0.009
weibull,0.998,0.745,0.003,0.18,0.742,0.207,0,0.001
weibull,0.994,1.671,0.012,0.331,3.486,0.482,0.001,0.003
weibull,0.978,2.588,0.03,0.417,10.605,0.978,0.003,0.004
weibull,0.979,3.485,0.026,0.42,1.563,1.317,0.003,0.008
yan,0.9988,0.6899,0.0028,0.1474,0.8426,0.1913,0.0002,0.0006
yan,0.9982,0.8401,0.0048,0.2058,0.6897,0.2038,0.0003,0.0011
yan,0.9996,0.7345,0.0014,0.0997,0.0155,0.1603,0.0001,0.001
yan,0.9994,0.802,0.0019,0.1208,0.1075,0.1945,0.0001,0.001
yan,0.9988,0.6899,0.0028,0.1474,0.8426,0.1913,0.0002,0.0006
yan,0.9941,1.578,0.0081,0.239,0.5112,0.5579,0.0008,0.0018
yan,0.9996,0.5266,0.0011,0.1005,0.1625,0.1316,0.0001,0.0004
yan,0.9988,0.6899,0.0028,0.1474,0.8426,0.1913,0.0002,0.0006
yan,0.9945,2.031,0.0088,0.2486,1.1401,0.677,0.0008,0.0034
yan,0.9981,0.2609,0.0037,0.1668,0.1007,0.0724,0.0002,0.0001
yan,0.9987,0.4871,0.0026,0.1548,0.748,0.1406,0.0002,0.0003
yan,0.9931,1.378,0.0093,0.2227,3.7569,0.5208,0.001,0.0012
yan,0.9948,1.8438,0.0064,0.2,0.4881,0.6969,0.0007,0.0021
wolborska,0.842,6.896,0.358,2.111,29.756,1.913,0.024,0.056
wolborska,0.88,5.989,0.325,2.239,21.059,1.453,0.017,0.055
wolborska,0.947,5.3,0.166,1.477,6.632,1.157,0.007,0.054
wolborska,0.92,6.062,0.236,1.87,11.775,1.47,0.012,0.057
wolborska,0.842,6.896,0.358,2.111,29.756,1.913,0.024,0.056
wolborska,0.721,6.581,0.385,1.789,11.078,2.327,0.038,0.032
wolborska,0.862,6.185,0.382,2.442,19.922,1.546,0.021,0.056
wolborska,0.842,6.896,0.358,2.111,29.756,1.913,0.024,0.056
wolborska,0.687,8.751,0.499,2.16,94.324,2.917,0.045,0.063
wolborska,0.961,3.316,0.076,0.954,8.236,0.92,0.005,0.013
wolborska,0.906,5.405,0.191,1.485,23.683,1.56,0.014,0.032
wolborska,0.799,6.851,0.271,1.435,41.052,2.589,0.03,0.03
wolborska,0.731,7.925,0.329,1.561,10.898,2.995,0.037,0.04
