,coefficient of determination,Marquardt,Sum of Squared Errors,Sum of Absolute Errors,Hybrid,Average Relative Error,Mean Squared Error,Non Linear Chi-Square
0,0.985,2.153,0.034,0.647,5.156,0.597,0.002,0.005
1,0.992,1.602,0.022,0.523,2.681,0.389,0.001,0.004
2,0.999,1.033,0.003,0.131,0.134,0.225,0.0,0.002
3,0.997,1.312,0.008,0.264,0.892,0.318,0.0,0.003
4,0.985,2.153,0.034,0.647,5.156,0.597,0.002,0.005
5,0.962,3.414,0.052,0.677,1.377,1.207,0.005,0.008
6,0.991,1.701,0.026,0.619,2.202,0.425,0.001,0.004
7,0.985,2.153,0.034,0.647,5.156,0.597,0.002,0.005
8,0.98,3.207,0.032,0.503,6.118,1.069,0.003,0.008
9,0.998,0.358,0.004,0.195,0.759,0.099,0.0,0.0
10,0.993,1.53,0.013,0.363,3.525,0.442,0.001,0.003
11,0.963,3.432,0.049,0.626,9.803,1.297,0.005,0.007
12,0.964,4.025,0.044,0.59,1.433,1.521,0.005,0.01
